model,num_parameters,score
claude-opus-4-1-20250805,1.1E+12,0.975056705
gpt-4.1,1E+12,0.973922916
gpt-4o,1E+12,0.972222238
huggingface_moonshotai_Kimi-K2-Instruct-0905,1E+12,0.969387769
gemini-2.5-flash-lite,9.75E+11,0.974603179
claude-sonnet-4-20250514,9.5E+11,0.978458063
gemini-2.0-flash,9.5E+11,0.957483023
gpt-4.1-mini,9.5E+11,0.96598642
claude-3-7-sonnet-20250219,9.25E+11,0.95691612
gpt-4.1-nano,9.25E+11,0.923091477
gpt-5-nano,9.25E+11,0.951814073
claude-3-5-haiku-20241022,9E+11,0.982620676
gemini-1.5-flash,9E+11,0.973922918
gpt-4o-mini,9E+11,0.958163281
qwen_qwen3-coder-480b-a35b-instruct,4.8E+11,0.971655354
meta_llama-3.1-405b-instruct,4.05E+11,0.968253986
nvidia_llama-3.1-nemotron-ultra-253b-v1,2.53E+11,0.975056701
qwen_qwen3-235b-a22b,2.34E+11,0.973922912
gpt-3.5-turbo,1.75E+11,0.938775524
meta_llama-4-scout-17b-16e-instruct,1.09E+11,0.946825422
huggingface_Qwen_Qwen2.5-72B-Instruct,72700000000,0.975623594
meta_llama-3.3-70b-instruct,70000000000,0.948979612
mistralai_mixtral-8x7b-instruct-v0.1,56000000000,0.919614535
nvidia_llama-3.1-nemotron-51b-instruct,51500000000,0.947278925
nvidia_llama-3.3-nemotron-super-49b-v1.5,49900000000,0.963832218
qwen_qwen2.5-coder-32b-instruct,32000000000,0.954761921
google_gemma-3-27b-it,27000000000,0.964285728
mistralai_mistral-small-3.1-24b-instruct-2503,24000000000,0.953628129
huggingface_microsoft_phi-4,14700000000,0.923582782
huggingface_google_gemma-3-12b-it_featherless-ai,12200000000,0.963151939
mistralai_mistral-nemotron,12000000000,0.970521551
nv-mistralai_mistral-nemo-12b-instruct,12000000000,0.955328828
huggingface_zai-org_GLM-4-9B-0414_featherless-ai,9400000000,0.956916109
google_gemma-2-9b-it,9000000000,0.897619054
nvidia_nvidia-nemotron-nano-9b-v2,9000000000,0.936130019
gemini-1.5-flash-8b,8000000000,0.963718834
ibm_granite-3.3-8b-instruct,8000000000,0.919938477
meta_llama-3.1-8b-instruct,8000000000,0.933106612
tiiuae_falcon3-7b-instruct,7220000000,0.928117959
microsoft_phi-3-small-128k-instruct,7000000000,0.884845092
mistralai_mistral-7b-instruct-v0.3,7000000000,0.930272134
qwen_qwen2.5-7b-instruct,7000000000,0.947581266
qwen_qwen2.5-coder-7b-instruct,7000000000,0.973922907
microsoft_phi-4-multimodal-instruct,5600000000,0.88458054
microsoft_phi-3.5-mini-instruct,3800000000,0.851209398
microsoft_phi-4-mini-instruct,3800000000,0.885260805
meta_llama-3.2-3b-instruct,3210000000,0.843764268
huggingface_Qwen_Qwen2.5-Coder-3B-Instruct,3090000000,0.92743768
google_gemma-2-2b-it,2000000000,0.685411947
google_gemma-3-1b-it,1000000000,0.391156465
