model,num_parameters,score
claude-opus-4-1-20250805,1.1E+12,0.935941095
gpt-4.1,1E+12,0.916666721
gemini-2.5-flash-lite,9.75E+11,0.747845832
claude-sonnet-4-20250514,9.5E+11,0.888888957
gemini-2.0-flash,9.5E+11,0.861867046
gpt-4.1-mini,9.5E+11,0.91961456
claude-3-7-sonnet-20250219,9.25E+11,0.87358283
claude-3-5-haiku-20241022,9E+11,0.93888893
gemini-1.5-flash,9E+11,0.912622881
qwen_qwen3-coder-480b-a35b-instruct,4.8E+11,0.853822511
meta_llama-3.1-405b-instruct,4.05E+11,0.586734726
qwen_qwen3-235b-a22b,2.34E+11,0.886621361
gpt-3.5-turbo,1.75E+11,0.706916134
huggingface_Qwen_Qwen2.5-72B-Instruct,72700000000,0.526568435
meta_llama-3.3-70b-instruct,70000000000,0.648828441
nvidia_llama-3.1-nemotron-51b-instruct,51500000000,0.590006515
nvidia_llama-3.3-nemotron-super-49b-v1.5,49900000000,0.784013644
qwen_qwen2.5-coder-32b-instruct,32000000000,0.78374908
google_gemma-3-27b-it,27000000000,0.8086924
mistralai_mistral-small-3.1-24b-instruct-2503,24000000000,0.82853369
huggingface_microsoft_phi-4,14700000000,0.102040821
mistralai_mistral-nemotron,12000000000,0.352796683
nv-mistralai_mistral-nemo-12b-instruct,12000000000,0.730385549
nvidia_nvidia-nemotron-nano-9b-v2,9000000000,0.673280448
gemini-1.5-flash-8b,8000000000,0.621655333
ibm_granite-3.3-8b-instruct,8000000000,0.396825399
meta_llama-3.1-8b-instruct,8000000000,0.256802726
tiiuae_falcon3-7b-instruct,7220000000,0.533711319
mistralai_mistral-7b-instruct-v0.3,7000000000,0.159297068
qwen_qwen2.5-7b-instruct,7000000000,0.695238154
qwen_qwen2.5-coder-7b-instruct,7000000000,0.53310663
microsoft_phi-3.5-mini-instruct,3800000000,0.594104354
microsoft_phi-4-mini-instruct,3800000000,0.446280145
meta_llama-3.2-3b-instruct,3210000000,0.249244156
huggingface_Qwen_Qwen2.5-Coder-3B-Instruct,3090000000,0.297619057
google_gemma-2-2b-it,2000000000,0.003401367
google_gemma-3-1b-it,1000000000,0.004535147
