author,model_name,url,parameters,released,downloads,supported
HuggingFaceTB,SmolLM3-3B,https://huggingface.co/HuggingFaceTB/SmolLM3-3B,3000000000,08.07.2025,586058,TRUE
HuggingFaceTB,SmolLM3-3B-ONNX,https://huggingface.co/HuggingFaceTB/SmolLM3-3B-ONNX,3000000000,08.07.2025,436,FALSE
HuggingFaceTB,SmolVLM2-2.2B-Base,https://huggingface.co/HuggingFaceTB/SmolVLM2-2.2B-Base,2200000000,14.04.2025,960,FALSE
HuggingFaceTB,SmolLM2-1.7B-Instruct-16k,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct-16k,1700000000,21.02.2025,7,FALSE
HuggingFaceTB,SmolVLM2-256M-Video-Instruct,https://huggingface.co/HuggingFaceTB/SmolVLM2-256M-Video-Instruct,,11.02.2025,123138,FALSE
HuggingFaceTB,SmolVLM2-500M-Video-Instruct,https://huggingface.co/HuggingFaceTB/SmolVLM2-500M-Video-Instruct,,11.02.2025,64055,FALSE
HuggingFaceTB,SmolVLM2-2.2B-Instruct,https://huggingface.co/HuggingFaceTB/SmolVLM2-2.2B-Instruct,2200000000,08.02.2025,122121,FALSE
HuggingFaceTB,SmolVLM-500M-Instruct,https://huggingface.co/HuggingFaceTB/SmolVLM-500M-Instruct,,20.01.2025,38117,FALSE
HuggingFaceTB,SmolVLM-256M-Instruct,https://huggingface.co/HuggingFaceTB/SmolVLM-256M-Instruct,,17.01.2025,510242,FALSE
HuggingFaceTB,SmolLM2-135M-Instruct-Q8-mlx,https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct-Q8-mlx,,27.11.2024,37,FALSE
HuggingFaceTB,SmolLM2-1.7B-Instruct-Q8-mlx,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct-Q8-mlx,1700000000,27.11.2024,12,FALSE
HuggingFaceTB,SmolLM2-360M-Instruct-Q8-mlx,https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct-Q8-mlx,,27.11.2024,5,FALSE
HuggingFaceTB,SmolVLM-Instruct-DPO,https://huggingface.co/HuggingFaceTB/SmolVLM-Instruct-DPO,,26.11.2024,299,FALSE
HuggingFaceTB,SmolVLM-Base,https://huggingface.co/HuggingFaceTB/SmolVLM-Base,,22.11.2024,8159,FALSE
HuggingFaceTB,SmolVLM-Synthetic,https://huggingface.co/HuggingFaceTB/SmolVLM-Synthetic,,22.11.2024,218,FALSE
HuggingFaceTB,SmolVLM-Instruct,https://huggingface.co/HuggingFaceTB/SmolVLM-Instruct,,18.11.2024,79620,FALSE
HuggingFaceTB,SmolLM2-360M-Instruct,https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct,,31.10.2024,526226,FALSE
HuggingFaceTB,SmolLM2-135M-Instruct,https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct,,31.10.2024,390272,FALSE
HuggingFaceTB,SmolLM2-1.7B-Instruct,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct,1700000000,31.10.2024,47671,FALSE
HuggingFaceTB,SmolLM2-360M-Instruct-GGUF,https://huggingface.co/HuggingFaceTB/SmolLM2-360M-Instruct-GGUF,,31.10.2024,3016,FALSE
HuggingFaceTB,SmolLM2-1.7B-Instruct-GGUF,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct-GGUF,1700000000,31.10.2024,2703,FALSE
HuggingFaceTB,smollm-1.7B-instruct-add-basics-q4f16_1-MLC,https://huggingface.co/HuggingFaceTB/smollm-1.7B-instruct-add-basics-q4f16_1-MLC,1700000000,18.08.2024,3,FALSE
HuggingFaceTB,SmolLM-360M-Instruct-ONNX-fp16,https://huggingface.co/HuggingFaceTB/SmolLM-360M-Instruct-ONNX-fp16,,17.08.2024,944,FALSE
HuggingFaceTB,smollm-1.7B-instruct-v0.2-Q8_0-GGUF,https://huggingface.co/HuggingFaceTB/smollm-1.7B-instruct-v0.2-Q8_0-GGUF,1700000000,17.08.2024,16,FALSE
HuggingFaceTB,smollm-360M-instruct-add-basics-q0f16-MLC,https://huggingface.co/HuggingFaceTB/smollm-360M-instruct-add-basics-q0f16-MLC,,16.08.2024,281,FALSE
HuggingFaceTB,smollm-135M-instruct-v0.2-Q8_0-GGUF,https://huggingface.co/HuggingFaceTB/smollm-135M-instruct-v0.2-Q8_0-GGUF,,14.08.2024,57,FALSE
HuggingFaceTB,smollm-360M-instruct-v0.2-Q8_0-GGUF,https://huggingface.co/HuggingFaceTB/smollm-360M-instruct-v0.2-Q8_0-GGUF,,13.08.2024,213,FALSE
HuggingFaceTB,smollm-360M-instruct-add-basics,https://huggingface.co/HuggingFaceTB/smollm-360M-instruct-add-basics,,13.08.2024,17,FALSE
HuggingFaceTB,SmolLM-135M-Instruct,https://huggingface.co/HuggingFaceTB/SmolLM-135M-Instruct,,15.07.2024,10086,FALSE
HuggingFaceTB,SmolLM-360M-Instruct,https://huggingface.co/HuggingFaceTB/SmolLM-360M-Instruct,,15.07.2024,6630,FALSE
HuggingFaceTB,SmolLM-1.7B-Instruct,https://huggingface.co/HuggingFaceTB/SmolLM-1.7B-Instruct,1700000000,15.07.2024,3941,FALSE
