author,model_name,url,parameters,released,downloads,supported
mistralai,Devstral-Small-2507_gguf,https://huggingface.co/mistralai/Devstral-Small-2507_gguf,,2025-07-07,7356,False
mistralai,Mistral-Small-3.2-24B-Instruct-2506,https://huggingface.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506,24000000000.0,2025-06-19,360748,False
mistralai,Magistral-Small-2506_gguf,https://huggingface.co/mistralai/Magistral-Small-2506_gguf,,2025-06-09,3445,False
mistralai,Magistral-Small-2506,https://huggingface.co/mistralai/Magistral-Small-2506,,2025-06-04,32234,False
mistralai,Devstral-Small-2505_gguf,https://huggingface.co/mistralai/Devstral-Small-2505_gguf,,2025-05-19,1843,False
mistralai,Mistral-Nemo-Instruct-FP8-2407,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-FP8-2407,,2025-03-21,106,False
mistralai,Mistral-Small-3.1-24B-Instruct-2503,https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503,24000000000.0,2025-03-11,229676,False
mistralai,Mistral-Small-24B-Instruct-2501,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501,24000000000.0,2025-01-28,101795,False
mistralai,Mistral-Large-Instruct-2411,https://huggingface.co/mistralai/Mistral-Large-Instruct-2411,,2024-11-14,5418,False
mistralai,Pixtral-Large-Instruct-2411,https://huggingface.co/mistralai/Pixtral-Large-Instruct-2411,,2024-11-14,93,False
mistralai,Ministral-8B-Instruct-2410,https://huggingface.co/mistralai/Ministral-8B-Instruct-2410,8000000000.0,2024-10-15,160763,False
mistralai,Mistral-Small-Instruct-2409,https://huggingface.co/mistralai/Mistral-Small-Instruct-2409,,2024-09-17,7414,False
mistralai,Mistral-Large-Instruct-2407,https://huggingface.co/mistralai/Mistral-Large-Instruct-2407,,2024-07-24,10410,False
mistralai,Mistral-Nemo-Instruct-2407,https://huggingface.co/mistralai/Mistral-Nemo-Instruct-2407,,2024-07-17,176808,False
mistralai,Mistral-7B-Instruct-v0.3,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3,7000000000.0,2024-05-22,821666,False
mistralai,Mixtral-8x22B-Instruct-v0.1,https://huggingface.co/mistralai/Mixtral-8x22B-Instruct-v0.1,22000000000.0,2024-04-16,8702,False
mistralai,Mistral-7B-Instruct-v0.2,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2,7000000000.0,2023-12-11,688762,False
mistralai,Mixtral-8x7B-Instruct-v0.1,https://huggingface.co/mistralai/Mixtral-8x7B-Instruct-v0.1,7000000000.0,2023-12-10,350209,False
mistralai,Mistral-7B-Instruct-v0.1,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1,7000000000.0,2023-09-27,189502,False
meta-llama,Llama-Guard-4-12B,https://huggingface.co/meta-llama/Llama-Guard-4-12B,12000000000.0,2025-04-23,24004,False
meta-llama,Llama-4-Maverick-17B-128E-Instruct-Original,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct-Original,17000000000.0,2025-04-04,15,False
meta-llama,Llama-4-Maverick-17B-128E-Instruct-FP8-Original,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8-Original,17000000000.0,2025-04-04,10,False
meta-llama,Llama-4-Scout-17B-16E-Instruct-Original,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct-Original,17000000000.0,2025-04-03,65,False
meta-llama,Llama-4-Scout-17B-16E-Instruct,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct,17000000000.0,2025-04-02,707425,True
meta-llama,Llama-4-Scout-17B-16E,https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E,17000000000.0,2025-04-02,39168,False
meta-llama,Llama-4-Maverick-17B-128E,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E,17000000000.0,2025-04-02,2905,False
meta-llama,Llama-4-Maverick-17B-128E-Instruct-FP8,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,17000000000.0,2025-04-01,108946,True
meta-llama,Llama-4-Maverick-17B-128E-Instruct,https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct,17000000000.0,2025-04-01,48052,True
meta-llama,Llama-3.3-70B-Instruct,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,70000000000.0,2024-11-26,423009,True
meta-llama,Llama-3.2-1B-Instruct-QLORA_INT4_EO8,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct-QLORA_INT4_EO8,1000000000.0,2024-10-23,368,False
meta-llama,Llama-3.2-1B-Instruct-SpinQuant_INT4_EO8,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct-SpinQuant_INT4_EO8,1000000000.0,2024-10-23,366,False
meta-llama,Llama-3.2-3B-Instruct-QLORA_INT4_EO8,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct-QLORA_INT4_EO8,3000000000.0,2024-10-23,222,False
meta-llama,Llama-3.2-3B-Instruct-SpinQuant_INT4_EO8,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct-SpinQuant_INT4_EO8,3000000000.0,2024-10-23,88,False
meta-llama,Llama-Guard-3-1B,https://huggingface.co/meta-llama/Llama-Guard-3-1B,1000000000.0,2024-09-20,27529,False
meta-llama,Llama-Guard-3-11B-Vision,https://huggingface.co/meta-llama/Llama-Guard-3-11B-Vision,11000000000.0,2024-09-20,2640,False
meta-llama,Llama-3.2-90B-Vision-Instruct,https://huggingface.co/meta-llama/Llama-3.2-90B-Vision-Instruct,90000000000.0,2024-09-19,6556,False
meta-llama,Llama-3.2-1B-Instruct,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,1000000000.0,2024-09-18,3262585,True
meta-llama,Llama-3.2-3B-Instruct,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,3000000000.0,2024-09-18,1505246,True
meta-llama,Llama-3.2-11B-Vision-Instruct,https://huggingface.co/meta-llama/Llama-3.2-11B-Vision-Instruct,11000000000.0,2024-09-18,787455,False
meta-llama,Llama-Guard-3-8B,https://huggingface.co/meta-llama/Llama-Guard-3-8B,8000000000.0,2024-07-22,324537,False
meta-llama,Llama-Guard-3-8B-INT8,https://huggingface.co/meta-llama/Llama-Guard-3-8B-INT8,8000000000.0,2024-07-21,5617,False
meta-llama,Llama-3.1-405B-Instruct-FP8,https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct-FP8,405000000000.0,2024-07-20,6121,False
meta-llama,Llama-3.1-8B-Instruct,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,8000000000.0,2024-07-18,13028195,True
meta-llama,Llama-3.1-70B-Instruct,https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct,70000000000.0,2024-07-16,496004,True
meta-llama,Llama-3.1-405B-Instruct,https://huggingface.co/meta-llama/Llama-3.1-405B-Instruct,405000000000.0,2024-07-16,32962,True
meta-llama,Meta-Llama-3-8B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct,8000000000.0,2024-04-17,1049006,True
meta-llama,Meta-Llama-3-70B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct,70000000000.0,2024-04-17,63504,True
meta-llama,Meta-Llama-Guard-2-8B,https://huggingface.co/meta-llama/Meta-Llama-Guard-2-8B,8000000000.0,2024-04-17,10022,False
meta-llama,CodeLlama-34b-Instruct-hf,https://huggingface.co/meta-llama/CodeLlama-34b-Instruct-hf,34000000000.0,2024-03-14,1311,False
meta-llama,CodeLlama-7b-Instruct-hf,https://huggingface.co/meta-llama/CodeLlama-7b-Instruct-hf,7000000000.0,2024-03-13,3701,False
meta-llama,CodeLlama-13b-Instruct-hf,https://huggingface.co/meta-llama/CodeLlama-13b-Instruct-hf,13000000000.0,2024-03-13,1556,False
meta-llama,CodeLlama-70b-Instruct-hf,https://huggingface.co/meta-llama/CodeLlama-70b-Instruct-hf,70000000000.0,2024-03-13,174,False
meta-llama,LlamaGuard-7b,https://huggingface.co/meta-llama/LlamaGuard-7b,7000000000.0,2023-12-05,8313,False
meta-llama,Llama-2-70b-chat-hf,https://huggingface.co/meta-llama/Llama-2-70b-chat-hf,70000000000.0,2023-07-14,52755,False
meta-llama,Llama-2-70b-chat,https://huggingface.co/meta-llama/Llama-2-70b-chat,70000000000.0,2023-07-14,15,False
meta-llama,Llama-2-7b-chat-hf,https://huggingface.co/meta-llama/Llama-2-7b-chat-hf,7000000000.0,2023-07-13,1009389,False
meta-llama,Llama-2-13b-chat-hf,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf,13000000000.0,2023-07-13,176857,False
meta-llama,Llama-2-7b-chat,https://huggingface.co/meta-llama/Llama-2-7b-chat,7000000000.0,2023-07-09,212,False
meta-llama,Llama-2-13b-chat,https://huggingface.co/meta-llama/Llama-2-13b-chat,13000000000.0,2023-07-09,45,False
google,gemma-3-270m-it-qat-q4_0-unquantized,https://huggingface.co/google/gemma-3-270m-it-qat-q4_0-unquantized,,2025-08-07,125,False
google,gemma-3-270m-it,https://huggingface.co/google/gemma-3-270m-it,,2025-07-30,9415,False
google,medgemma-27b-it,https://huggingface.co/google/medgemma-27b-it,27000000000.0,2025-07-09,19983,False
google,t5gemma-b-b-prefixlm-it,https://huggingface.co/google/t5gemma-b-b-prefixlm-it,,2025-06-19,5196,False
google,t5gemma-2b-2b-prefixlm-it,https://huggingface.co/google/t5gemma-2b-2b-prefixlm-it,2000000000.0,2025-06-19,3170,False
google,t5gemma-l-l-ul2-it,https://huggingface.co/google/t5gemma-l-l-ul2-it,,2025-06-19,2334,False
google,t5gemma-2b-2b-ul2-it,https://huggingface.co/google/t5gemma-2b-2b-ul2-it,2000000000.0,2025-06-19,1450,False
google,t5gemma-s-s-prefixlm-it,https://huggingface.co/google/t5gemma-s-s-prefixlm-it,,2025-06-19,685,False
google,t5gemma-xl-xl-prefixlm-it,https://huggingface.co/google/t5gemma-xl-xl-prefixlm-it,,2025-06-19,595,False
google,t5gemma-s-s-ul2-it,https://huggingface.co/google/t5gemma-s-s-ul2-it,,2025-06-19,406,False
google,t5gemma-ml-ml-ul2-it,https://huggingface.co/google/t5gemma-ml-ml-ul2-it,,2025-06-19,308,False
google,t5gemma-l-l-prefixlm-it,https://huggingface.co/google/t5gemma-l-l-prefixlm-it,,2025-06-19,271,False
google,t5gemma-9b-9b-ul2-it,https://huggingface.co/google/t5gemma-9b-9b-ul2-it,9000000000.0,2025-06-19,202,False
google,t5gemma-b-b-ul2-it,https://huggingface.co/google/t5gemma-b-b-ul2-it,,2025-06-19,200,False
google,t5gemma-xl-xl-ul2-it,https://huggingface.co/google/t5gemma-xl-xl-ul2-it,,2025-06-19,172,False
